type	latitude	longitude	altitude (m)	name	desc
T	61.111322000	9.174263000	959.2		
T	61.111334000	9.174104000	959.2		
T	61.111327000	9.173923000	959.2		
T	61.111294000	9.173756000	959.2		
T	61.111190000	9.173419000	959.2		
T	61.111100000	9.172715000	959.2		
T	61.111057000	9.172558000	959.2		
T	61.110964000	9.172416000	959.2		
T	61.110787000	9.172284000	959.2		
T	61.110720000	9.172185000	959.2		
T	61.110665000	9.172042000	959.1		
T	61.110463000	9.171286000	959.2		
T	61.110348000	9.170927000	959.4		
T	61.110256000	9.170746000	959.5		
T	61.109849000	9.170151000	960.2		
T	61.109361000	9.169763000	960.7		
T	61.109288000	9.169661000	960.9		
T	61.109184000	9.169328000	961.0		
T	61.109071000	9.168550000	961.0		
T	61.109058000	9.168284000	961.0		
T	61.109054000	9.167899000	960.9		
T	61.109069000	9.167499000	960.9		
T	61.109181000	9.165901000	960.8		
T	61.109181000	9.165242000	960.7		
T	61.109146000	9.164837000	960.6		
T	61.109113000	9.164670000	960.2		
T	61.109045000	9.164424000	960.7		
T	61.108951000	9.164177000	960.8		
T	61.108696000	9.163624000	960.9		
T	61.108277000	9.162801000	960.5		
T	61.108003000	9.162351000	959.3		
T	61.107703000	9.162057000	958.5		
T	61.107581000	9.161860000	957.5		
T	61.107512000	9.161636000	957.3		
T	61.107411000	9.161205000	957.0		
T	61.107303000	9.160640000	955.2		
T	61.107241000	9.160161000	954.0		
T	61.107230000	9.159776000	953.4		
T	61.107258000	9.158426000	948.9		
T	61.107288000	9.157950000	948.8		
T	61.107342000	9.157572000	948.2		
T	61.107540000	9.156704000	946.8		
T	61.107563000	9.156356000	940.6		
T	61.107446000	9.155952000	933.2		
T	61.107352000	9.155754000	931.9		
T	61.107182000	9.155503000	931.9		
T	61.106845000	9.155141000	931.6		
T	61.106761000	9.154991000	931.2		
T	61.106554000	9.154322000	929.1		
T	61.106533000	9.154179000	928.6		
T	61.106522000	9.153914000	926.0		
T	61.106496000	9.153791000	921.3		
T	61.106291000	9.153915000	913.7		
T	61.106093000	9.153871000	912.1		
T	61.105624000	9.153649000	910.8		
T	61.105364000	9.153440000	909.9		
T	61.105257000	9.153275000	910.0		
T	61.105169000	9.153035000	908.4		
T	61.104964000	9.152180000	906.1		
T	61.104642000	9.151306000	903.5		
T	61.104468000	9.150724000	902.0		
T	61.104376000	9.150489000	901.2		
T	61.103888000	9.149781000	894.7		
T	61.103819000	9.149522000	888.0		
T	61.103789000	9.149305000	887.4		
T	61.103734000	9.148786000	884.3		
T	61.103709000	9.148311000	882.3		
T	61.103657000	9.147881000	880.5		
T	61.103510000	9.147159000	877.6		
T	61.103422000	9.146595000	870.6		
T	61.103311000	9.146171000	863.1		
T	61.103165000	9.145798000	860.1		
T	61.103097000	9.145494000	858.3		
T	61.103113000	9.145190000	856.5		
T	61.103275000	9.144645000	857.1		
T	61.103333000	9.144373000	855.1		
T	61.103296000	9.144107000	854.5		
T	61.103204000	9.143898000	854.1		
T	61.103067000	9.143759000	852.6		
T	61.102911000	9.143765000	851.7		
T	61.102797000	9.143847000	852.0		
T	61.102595000	9.144227000	852.6		
T	61.102292000	9.144956000	851.8		
T	61.101919000	9.145633000	847.5		
T	61.101638000	9.146431000	843.3		
T	61.101500000	9.146652000	839.8		
T	61.101353000	9.146760000	839.1		
T	61.100594000	9.146994000	827.8		
T	61.100227000	9.147058000	816.1		
T	61.099860000	9.147229000	809.8		
T	61.099594000	9.147438000	809.3		
T	61.099256000	9.147546000	806.5		
T	61.099156000	9.147621000	806.9		
T	61.099013000	9.147796000	801.7		
T	61.099058000	9.147837000	815.4		
T	61.099318000	9.147686000	816.6		
T	61.099559000	9.147693000	817.5		
T	61.099864000	9.147571000	818.0		
T	61.099992000	9.147548000	818.0		
T	61.100186000	9.147647000	817.4		
T	61.100274000	9.147743000	828.8		
T	61.100270000	9.147969000	849.0		
T	61.100307000	9.148297000	850.4		
T	61.100460000	9.149172000	853.3		
T	61.100458000	9.149344000	853.8		
T	61.100227000	9.150064000	853.9		
T	61.100000000	9.150500000	854.7		
T	61.099719000	9.151389000	866.2		
T	61.099331000	9.152599000	884.1		
T	61.099251000	9.152908000	884.6		
T	61.099233000	9.153081000	885.0		
T	61.099239000	9.153224000	885.4		
T	61.099265000	9.153372000	885.6		
T	61.099366000	9.153699000	885.7		
T	61.099455000	9.153839000	885.4		
T	61.099518000	9.153876000	885.1		
T	61.099605000	9.153878000	884.8		
T	61.099922000	9.153749000	892.6		
T	61.100581000	9.154573000	904.0		
T	61.100861000	9.155130000	904.8		
T	61.101059000	9.156847000	915.7		
T	61.101162000	9.159122000	931.8		
T	61.101432000	9.159808000	935.6		
T	61.101795000	9.160945000	940.6		
T	61.102002000	9.163177000	954.4		
T	61.101950000	9.164100000	965.6		
T	61.102241000	9.166589000	980.6		
T	61.102469000	9.168949000	1000.7		
T	61.102925000	9.171481000	1018.7		
T	61.102904000	9.172618000	1030.5		
T	61.102904000	9.172618000	1030.5		
T	61.102925000	9.171481000	1018.7		
T	61.102469000	9.168949000	1000.7		
T	61.102241000	9.166589000	980.6		
T	61.101950000	9.164100000	965.6		
T	61.102002000	9.163177000	954.4		
T	61.101795000	9.160945000	940.6		
T	61.101432000	9.159808000	935.6		
T	61.101162000	9.159122000	931.8		
T	61.101059000	9.156847000	915.7		
T	61.100861000	9.155130000	904.8		
T	61.100581000	9.154573000	904.0		
T	61.099922000	9.153749000	892.6		
T	61.099605000	9.153878000	884.8		
T	61.099518000	9.153876000	885.1		
T	61.099455000	9.153839000	885.4		
T	61.099366000	9.153699000	885.7		
T	61.099265000	9.153372000	885.6		
T	61.099239000	9.153224000	885.4		
T	61.099233000	9.153081000	885.0		
T	61.099251000	9.152908000	884.6		
T	61.099331000	9.152599000	884.1		
T	61.100000000	9.150500000	854.7		
T	61.100227000	9.150064000	853.9		
T	61.100458000	9.149344000	853.8		
T	61.100460000	9.149172000	853.3		
T	61.100307000	9.148297000	850.4		
T	61.100270000	9.147969000	849.0		
T	61.100274000	9.147743000	828.8		
T	61.100186000	9.147647000	817.4		
T	61.099992000	9.147548000	818.0		
T	61.099864000	9.147571000	818.0		
T	61.099559000	9.147693000	817.5		
T	61.099318000	9.147686000	816.6		
T	61.099058000	9.147837000	815.4		
T	61.099013000	9.147796000	801.7		
T	61.098758000	9.148306000	799.0		
T	61.098410000	9.148835000	798.7		
T	61.098107000	9.149521000	798.2		
T	61.097784000	9.150147000	797.5		
T	61.097403000	9.150768000	795.1		
T	61.097000000	9.151543000	790.2		
T	61.096892000	9.151682000	789.7		
T	61.096533000	9.151973000	787.2		
T	61.096394000	9.152046000	786.8		
T	61.096071000	9.152052000	784.8		
T	61.095990000	9.152075000	784.2		
T	61.095925000	9.152135000	784.4		
T	61.095055000	9.153583000	778.5		
T	61.094929000	9.153736000	777.0		
T	61.094230000	9.154372000	765.9		
T	61.094027000	9.154604000	765.5		
T	61.093922000	9.154680000	765.0		
T	61.093758000	9.154690000	763.3		
T	61.093634000	9.154567000	761.6		
T	61.093536000	9.154322000	760.8		
T	61.093379000	9.153592000	760.5		
T	61.093348000	9.153307000	760.8		
T	61.093370000	9.152924000	761.5		
T	61.093419000	9.152599000	751.1		
T	61.092533000	9.151740000	739.5		
T	61.091921000	9.150839000	734.9		
T	61.091507000	9.150753000	737.2		
T	61.090407000	9.152513000	727.3		
T	61.088872000	9.153993000	725.3		
T	61.087170000	9.154809000	735.3		
T	61.086267000	9.154920000	736.9		
T	61.085656000	9.157212000	743.8		
T	61.085510000	9.158349000	746.2		
T	61.085726000	9.159768000	748.7		
T	61.085309000	9.159087000	750.9		
T	61.085146000	9.158903000	750.9		
T	61.085040000	9.158865000	750.9		
T	61.084900000	9.158886000	750.9		
T	61.084419000	9.159137000	751.3		
T	61.083955000	9.159063000	753.6		
T	61.084000000	9.159258000	758.2		
T	61.084020000	9.159682000	760.7		
T	61.084006000	9.159984000	761.1		
T	61.083971000	9.160287000	762.8		
T	61.083900000	9.160677000	762.9		
T	61.083492000	9.162590000	776.8		
T	61.083700000	9.162862000	777.5		
T	61.083773000	9.162989000	777.5		
T	61.083830000	9.162985000	777.5		
T	61.083861000	9.163027000	777.8		
T	61.083996000	9.163177000	783.0		
T	61.084058000	9.164057000	783.2		
T	61.084079000	9.165709000	792.6		
T	61.084141000	9.167104000	807.2		
T	61.084597000	9.168284000	813.2		
T	61.084763000	9.168799000	818.8		
T	61.084307000	9.170795000	835.3		
T	61.083778000	9.173327000	866.4		
T	61.083736000	9.173906000	868.8		
T	61.084172000	9.173777000	872.3		
T	61.084566000	9.173284000	869.6		
T	61.084878000	9.172940000	870.1		
T	61.084846000	9.173327000	870.8		
T	61.084857000	9.173884000	877.8		
T	61.085220000	9.173455000	880.7		
T	61.085376000	9.173348000	881.8		
T	61.085293000	9.174593000	886.4		
T	61.085272000	9.176502000	913.4		
T	61.085168000	9.177446000	914.8		
T	61.084898000	9.179077000	915.2		
T	61.084535000	9.180107000	915.0		
T	61.084566000	9.181137000	914.8		
T	61.084639000	9.182296000	915.2		
T	61.084255000	9.189076000	937.2		
T	61.083871000	9.193690000	930.6		
T	61.084276000	9.193411000	940.9		
T	61.084639000	9.194291000	946.1		
T	61.084431000	9.196522000	953.8		
T	61.084504000	9.197853000	954.1		
T	61.085033000	9.200921000	963.3		
T	61.085396000	9.201458000	963.3		
T	61.086060000	9.203389000	968.1		
T	61.086340000	9.204612000	971.3		
T	61.087129000	9.207444000	984.7		
T	61.087772000	9.207594000	994.9		
T	61.088913000	9.207680000	1007.2		
